"tick","uncolonized_count","colonized_count","infection_count","total_count"
1.1,42651,1310,17,43978
2.1,42651,1310,17,43978
3.1,42650,1310,18,43978
4.1,42650,1310,18,43978
5.1,42650,1310,18,43978
6.1,42649,1311,18,43978
7.1,42650,1310,18,43978
8.1,42648,1311,19,43978
9.1,42648,1311,19,43978
10.1,42647,1312,19,43978
11.1,42648,1312,18,43978
12.1,42648,1312,18,43978
13.1,42648,1312,18,43978
14.1,42648,1312,18,43978
15.1,42649,1312,17,43978
16.1,42649,1312,17,43978
17.1,42649,1312,17,43978
18.1,42650,1311,17,43978
19.1,42650,1311,17,43978
20.1,42650,1311,17,43978
21.1,42650,1311,17,43978
22.1,42653,1309,16,43978
23.1,42653,1309,16,43978
24.1,42654,1309,15,43978
25.1,42654,1309,15,43978
26.1,42654,1309,15,43978
27.1,42655,1307,16,43978
28.1,42655,1307,16,43978
29.1,42655,1307,16,43978
30.1,42656,1309,13,43978
31.1,42656,1307,15,43978
32.1,42657,1308,13,43978
33.1,42656,1308,14,43978
34.1,42655,1309,14,43978
35.1,42654,1309,15,43978
36.1,42654,1310,14,43978
37.1,42653,1311,14,43978
38.1,42653,1311,14,43978
39.1,42653,1311,14,43978
40.1,42653,1311,14,43978
41.1,42653,1310,15,43978
42.1,42653,1310,15,43978
43.1,42652,1310,16,43978
44.1,42653,1310,15,43978
45.1,42653,1310,15,43978
46.1,42652,1311,15,43978
47.1,42652,1310,16,43978
48.1,42650,1311,17,43978
49.1,42652,1310,16,43978
50.1,42652,1310,16,43978
51.1,42651,1311,16,43978
52.1,42651,1311,16,43978
53.1,42651,1312,15,43978
54.1,42653,1312,13,43978
55.1,42653,1312,13,43978
56.1,42654,1311,13,43978
57.1,42654,1309,15,43978
58.1,42654,1307,17,43978
59.1,42654,1307,17,43978
60.1,42654,1308,16,43978
61.1,42654,1307,17,43978
62.1,42652,1309,17,43978
63.1,42652,1310,16,43978
64.1,42652,1310,16,43978
65.1,42652,1310,16,43978
66.1,42653,1311,14,43978
67.1,42652,1312,14,43978
68.1,42653,1312,13,43978
69.1,42652,1313,13,43978
70.1,42652,1314,12,43978
71.1,42651,1314,13,43978
72.1,42651,1313,14,43978
73.1,42652,1313,13,43978
74.1,42652,1313,13,43978
75.1,42651,1313,14,43978
76.1,42651,1313,14,43978
77.1,42648,1316,14,43978
78.1,42648,1316,14,43978
79.1,42648,1315,15,43978
80.1,42648,1315,15,43978
81.1,42647,1316,15,43978
82.1,42647,1316,15,43978
83.1,42646,1317,15,43978
84.1,42647,1315,16,43978
85.1,42648,1316,14,43978
86.1,42649,1316,13,43978
87.1,42649,1316,13,43978
88.1,42649,1315,14,43978
89.1,42649,1314,15,43978
90.1,42650,1313,15,43978
91.1,42648,1314,16,43978
92.1,42648,1314,16,43978
93.1,42648,1313,17,43978
94.1,42647,1313,18,43978
95.1,42647,1314,17,43978
96.1,42649,1313,16,43978
97.1,42649,1312,17,43978
98.1,42650,1310,18,43978
99.1,42650,1311,17,43978
100.1,42652,1311,15,43978
101.1,42652,1311,15,43978
102.1,42652,1310,16,43978
103.1,42653,1310,15,43978
104.1,42653,1309,16,43978
105.1,42653,1309,16,43978
106.1,42652,1310,16,43978
107.1,42652,1310,16,43978
108.1,42652,1310,16,43978
109.1,42652,1309,17,43978
110.1,42652,1308,18,43978
111.1,42651,1308,19,43978
112.1,42650,1308,20,43978
113.1,42651,1307,20,43978
114.1,42651,1307,20,43978
115.1,42651,1306,21,43978
116.1,42652,1306,20,43978
117.1,42652,1306,20,43978
118.1,42650,1308,20,43978
119.1,42647,1310,21,43978
120.1,42647,1309,22,43978
121.1,42647,1309,22,43978
122.1,42647,1310,21,43978
123.1,42647,1309,22,43978
124.1,42648,1307,23,43978
125.1,42648,1307,23,43978
126.1,42650,1307,21,43978
127.1,42650,1306,22,43978
128.1,42649,1307,22,43978
129.1,42649,1307,22,43978
130.1,42650,1306,22,43978
131.1,42650,1306,22,43978
132.1,42650,1305,23,43978
133.1,42650,1305,23,43978
134.1,42651,1306,21,43978
135.1,42650,1307,21,43978
136.1,42652,1307,19,43978
137.1,42653,1308,17,43978
138.1,42653,1306,19,43978
139.1,42653,1306,19,43978
140.1,42653,1305,20,43978
141.1,42654,1305,19,43978
142.1,42654,1305,19,43978
143.1,42654,1305,19,43978
144.1,42655,1304,19,43978
145.1,42655,1304,19,43978
146.1,42655,1304,19,43978
147.1,42655,1304,19,43978
148.1,42657,1305,16,43978
149.1,42659,1305,14,43978
150.1,42660,1305,13,43978
151.1,42660,1304,14,43978
152.1,42658,1305,15,43978
153.1,42657,1304,17,43978
154.1,42656,1304,18,43978
155.1,42656,1304,18,43978
156.1,42654,1306,18,43978
157.1,42654,1305,19,43978
158.1,42654,1304,20,43978
159.1,42654,1304,20,43978
160.1,42654,1304,20,43978
161.1,42654,1304,20,43978
162.1,42654,1301,23,43978
163.1,42655,1300,23,43978
164.1,42654,1301,23,43978
165.1,42654,1300,24,43978
166.1,42653,1301,24,43978
167.1,42656,1299,23,43978
168.1,42656,1299,23,43978
169.1,42657,1299,22,43978
170.1,42658,1299,21,43978
171.1,42659,1299,20,43978
172.1,42660,1299,19,43978
173.1,42660,1300,18,43978
174.1,42660,1300,18,43978
175.1,42658,1302,18,43978
176.1,42659,1302,17,43978
177.1,42660,1301,17,43978
178.1,42660,1300,18,43978
179.1,42662,1300,16,43978
180.1,42661,1302,15,43978
181.1,42661,1302,15,43978
182.1,42661,1302,15,43978
183.1,42662,1301,15,43978
184.1,42663,1301,14,43978
185.1,42662,1302,14,43978
186.1,42664,1299,15,43978
187.1,42664,1298,16,43978
188.1,42664,1298,16,43978
189.1,42664,1297,17,43978
190.1,42665,1297,16,43978
191.1,42665,1297,16,43978
192.1,42666,1297,15,43978
193.1,42666,1297,15,43978
194.1,42668,1297,13,43978
195.1,42668,1297,13,43978
196.1,42668,1297,13,43978
197.1,42668,1296,14,43978
198.1,42668,1296,14,43978
199.1,42669,1296,13,43978
200.1,42670,1295,13,43978
201.1,42670,1295,13,43978
202.1,42670,1295,13,43978
203.1,42669,1295,14,43978
204.1,42669,1295,14,43978
205.1,42670,1295,13,43978
206.1,42670,1293,15,43978
207.1,42671,1292,15,43978
208.1,42671,1292,15,43978
209.1,42669,1294,15,43978
210.1,42669,1293,16,43978
211.1,42667,1294,17,43978
212.1,42668,1293,17,43978
213.1,42668,1293,17,43978
214.1,42668,1292,18,43978
215.1,42668,1290,20,43978
216.1,42669,1290,19,43978
217.1,42669,1290,19,43978
218.1,42668,1291,19,43978
219.1,42670,1291,17,43978
220.1,42670,1290,18,43978
221.1,42670,1290,18,43978
222.1,42672,1290,16,43978
223.1,42672,1292,14,43978
224.1,42672,1292,14,43978
225.1,42672,1292,14,43978
226.1,42670,1293,15,43978
227.1,42671,1293,14,43978
228.1,42672,1293,13,43978
229.1,42672,1293,13,43978
230.1,42672,1293,13,43978
231.1,42671,1293,14,43978
232.1,42672,1292,14,43978
233.1,42672,1292,14,43978
234.1,42672,1292,14,43978
235.1,42672,1291,15,43978
236.1,42672,1291,15,43978
237.1,42671,1292,15,43978
238.1,42671,1292,15,43978
239.1,42672,1292,14,43978
240.1,42673,1293,12,43978
241.1,42673,1291,14,43978
242.1,42672,1291,15,43978
243.1,42673,1290,15,43978
244.1,42674,1290,14,43978
245.1,42674,1290,14,43978
246.1,42674,1290,14,43978
247.1,42673,1291,14,43978
248.1,42673,1290,15,43978
249.1,42673,1290,15,43978
250.1,42672,1293,13,43978
251.1,42672,1292,14,43978
252.1,42674,1292,12,43978
253.1,42675,1292,11,43978
254.1,42675,1292,11,43978
255.1,42675,1292,11,43978
256.1,42674,1292,12,43978
257.1,42674,1292,12,43978
258.1,42674,1293,11,43978
259.1,42673,1293,12,43978
260.1,42672,1294,12,43978
261.1,42671,1295,12,43978
262.1,42671,1295,12,43978
263.1,42671,1293,14,43978
264.1,42673,1292,13,43978
265.1,42674,1291,13,43978
266.1,42674,1291,13,43978
267.1,42673,1291,14,43978
268.1,42674,1291,13,43978
269.1,42676,1290,12,43978
270.1,42676,1290,12,43978
271.1,42676,1289,13,43978
272.1,42674,1291,13,43978
273.1,42673,1292,13,43978
274.1,42673,1292,13,43978
275.1,42673,1292,13,43978
276.1,42673,1292,13,43978
277.1,42673,1293,12,43978
278.1,42672,1293,13,43978
279.1,42672,1293,13,43978
280.1,42672,1292,14,43978
281.1,42672,1294,12,43978
282.1,42672,1292,14,43978
283.1,42674,1292,12,43978
284.1,42674,1292,12,43978
285.1,42674,1292,12,43978
286.1,42675,1292,11,43978
287.1,42674,1293,11,43978
288.1,42674,1293,11,43978
289.1,42674,1293,11,43978
290.1,42674,1293,11,43978
291.1,42674,1292,12,43978
292.1,42672,1293,13,43978
293.1,42672,1293,13,43978
294.1,42670,1295,13,43978
295.1,42670,1294,14,43978
296.1,42670,1293,15,43978
297.1,42670,1290,18,43978
298.1,42670,1291,17,43978
299.1,42670,1291,17,43978
300.1,42671,1291,16,43978
301.1,42671,1291,16,43978
302.1,42671,1291,16,43978
303.1,42671,1292,15,43978
