"tick","uncolonized_count","colonized_count","infection_count","total_count"
1.1,42612,1349,17,43978
2.1,42612,1349,17,43978
3.1,42611,1350,17,43978
4.1,42610,1350,18,43978
5.1,42609,1351,18,43978
6.1,42608,1352,18,43978
7.1,42608,1352,18,43978
8.1,42608,1351,19,43978
9.1,42608,1351,19,43978
10.1,42609,1350,19,43978
11.1,42611,1349,18,43978
12.1,42611,1349,18,43978
13.1,42613,1348,17,43978
14.1,42613,1348,17,43978
15.1,42613,1349,16,43978
16.1,42612,1351,15,43978
17.1,42610,1353,15,43978
18.1,42609,1354,15,43978
19.1,42608,1354,16,43978
20.1,42609,1354,15,43978
21.1,42609,1353,16,43978
22.1,42609,1350,19,43978
23.1,42608,1351,19,43978
24.1,42608,1351,19,43978
25.1,42608,1351,19,43978
26.1,42608,1351,19,43978
27.1,42607,1352,19,43978
28.1,42607,1352,19,43978
29.1,42608,1352,18,43978
30.1,42610,1352,16,43978
31.1,42610,1352,16,43978
32.1,42610,1351,17,43978
33.1,42610,1350,18,43978
34.1,42611,1349,18,43978
35.1,42609,1351,18,43978
36.1,42608,1352,18,43978
37.1,42609,1352,17,43978
38.1,42609,1353,16,43978
39.1,42609,1351,18,43978
40.1,42608,1351,19,43978
41.1,42607,1351,20,43978
42.1,42606,1352,20,43978
43.1,42606,1352,20,43978
44.1,42607,1352,19,43978
45.1,42607,1352,19,43978
46.1,42606,1353,19,43978
47.1,42605,1353,20,43978
48.1,42603,1355,20,43978
49.1,42603,1355,20,43978
50.1,42607,1355,16,43978
51.1,42607,1355,16,43978
52.1,42608,1354,16,43978
53.1,42607,1355,16,43978
54.1,42607,1355,16,43978
55.1,42607,1354,17,43978
56.1,42607,1354,17,43978
57.1,42606,1355,17,43978
58.1,42606,1354,18,43978
59.1,42607,1354,17,43978
60.1,42608,1354,16,43978
61.1,42608,1353,17,43978
62.1,42608,1350,20,43978
63.1,42608,1350,20,43978
64.1,42608,1349,21,43978
65.1,42609,1349,20,43978
66.1,42609,1348,21,43978
67.1,42609,1347,22,43978
68.1,42609,1347,22,43978
69.1,42611,1347,20,43978
70.1,42611,1347,20,43978
71.1,42611,1347,20,43978
72.1,42611,1347,20,43978
73.1,42610,1348,20,43978
74.1,42610,1348,20,43978
75.1,42612,1348,18,43978
76.1,42613,1348,17,43978
77.1,42612,1348,18,43978
78.1,42612,1348,18,43978
79.1,42612,1348,18,43978
80.1,42611,1349,18,43978
81.1,42612,1348,18,43978
82.1,42612,1348,18,43978
83.1,42612,1348,18,43978
