zip code,colonized fraction,infected fraction
60666,0.03,0.001
60645,0.03,0.001
60626,0.03,0.001
60631,0.03,0.001
60646,0.03,0.001
60659,0.03,0.001
60660,0.03,0.001
60656,0.03,0.001
60630,0.03,0.001
60625,0.03,0.001
60640,0.03,0.001
60634,0.03,0.001
60641,0.03,0.001
60618,0.03,0.001
60613,0.03,0.001
60657,0.03,0.001
60707,0.03,0.001
60639,0.03,0.001
60647,0.03,0.001
60614,0.03,0.001
60651,0.03,0.001
60644,0.03,0.001
60624,0.03,0.001
60612,0.03,0.001
60623,0.03,0.001
60608,0.03,0.001
60622,0.03,0.001
60642,0.03,0.001
60610,0.03,0.001
60654,0.03,0.001
60611,0.03,0.001
60601,0.03,0.001
60661,0.03,0.001
60606,0.03,0.001
60602,0.03,0.001
60607,0.03,0.001
60604,0.03,0.001
60605,0.03,0.001
60616,0.03,0.001
60638,0.03,0.001
60632,0.03,0.001
60609,0.03,0.001
60653,0.03,0.001
60615,0.03,0.001
60629,0.03,0.001
60636,0.03,0.001
60621,0.03,0.001
60637,0.03,0.001
60652,0.03,0.001
60620,0.03,0.001
60619,0.03,0.001
60649,0.03,0.001
60655,0.03,0.001
60643,0.03,0.001
60628,0.03,0.001
60617,0.03,0.001
60827,0.03,0.001
60633,0.03,0.001
