tucaseid,place_type,start_time,stop_time,activity_risk,place_risk
"0250-032-1997-1","Household",0,690,0,2
"0250-032-1997-1","Other",690,695,0,0
"0250-032-1997-1","Other Household",695,715,0,2
"0250-032-1997-1","Other",715,720,0,0
"0250-032-1997-1","Household",720,750,0,2
"0250-032-1997-1","Other",750,780,0,0
"0250-032-1997-1","Other Household",780,1075,0,2
"0250-032-1997-1","Other",1075,1080,0,0
"0250-032-1997-1","Household",1080,1440,0,2
"0250-032-1997-2","Household",0,1440,0,2
"0280-033-1997-1","Household",0,445,0,2
"0280-033-1997-1","Other",445,460,0,0
"0280-033-1997-1","School",460,855,0,1
"0280-033-1997-1","Other",855,870,0,0
"0280-033-1997-1","Household",870,990,0,2
"0280-033-1997-1","Other",990,1020,0,0
"0280-033-1997-1","Household",1020,1080,0,2
"0280-033-1997-1","Other",1080,1200,0,0
"0280-033-1997-1","Household",1200,1440,0,2
"0280-033-1997-2","Household",0,1065,0,2
"0280-033-1997-2","Other",1065,1092,0,0
"0280-033-1997-2","Other Household",1092,1114,0,2
"0280-033-1997-2","Other",1114,1125,0,0
"0280-033-1997-2","Household",1125,1440,0,2
"0374-030-2002-1","Household",0,490,0,2
"0374-030-2002-1","Other",490,492,0,0
"0374-030-2002-1","School",492,525,2,1
"0374-030-2002-1","School",525,900,0,1
"0374-030-2002-1","Other",900,905,0,0
"0374-030-2002-1","Household",905,940,0,2
"0374-030-2002-1","Other",940,945,0,0
"0374-030-2002-1","Other",945,1065,2,0
"0374-030-2002-1","Other",1065,1070,0,0
"0374-030-2002-1","Household",1070,1440,0,2
"0374-030-2002-2","Household",0,560,0,2
"0374-030-2002-2","Other",560,680,0,0
"0374-030-2002-2","Household",680,750,0,2
"0374-030-2002-2","Other",750,990,0,0
"0374-030-2002-2","Household",990,1440,0,2
"0503-173-1997-1","Household",0,422,0,2
"0503-173-1997-1","Other",422,450,0,0
"0503-173-1997-1","Other Household",450,600,0,2
"0503-173-1997-1","Other",600,610,0,0
"0503-173-1997-1","School",610,870,0,1
"0503-173-1997-1","Other",870,880,0,0
"0503-173-1997-1","Other Household",880,950,0,2
"0503-173-1997-1","Other",950,992,0,0
"0503-173-1997-1","Other Household",992,1078,0,2
"0503-173-1997-1","Other",1078,1080,0,0
"0503-173-1997-1","Household",1080,1440,0,2
"0503-173-1997-2","Household",0,815,0,2
"0503-173-1997-2","Other",815,930,0,0
"0503-173-1997-2","Other Household",930,1380,0,2
"0503-173-1997-2","Other",1380,1400,0,0
"0503-173-1997-2","Household",1400,1440,0,2
"0593-031-2002-1","Household",0,455,0,2
"0593-031-2002-1","Other",455,465,0,0
"0593-031-2002-1","School",465,870,0,1
"0593-031-2002-1","Other",870,1005,0,0
"0593-031-2002-1","Household",1005,1020,0,2
"0593-031-2002-1","Other",1020,1035,0,0
"0593-031-2002-1","School",1035,1155,0,1
"0593-031-2002-1","Other",1155,1245,0,0
"0593-031-2002-1","Household",1245,1440,0,2
"0593-031-2002-2","Household",0,825,0,2
"0593-031-2002-2","Other",825,960,0,0
"0593-031-2002-2","Household",960,1440,0,2
"0719-173-1997-1","Household",0,720,0,2
"0719-173-1997-1","Other Household",720,795,0,2
"0719-173-1997-1","Household",795,945,0,2
"0719-173-1997-1","Other",945,968,0,0
"0719-173-1997-1","Other Household",968,1440,0,2
"0719-173-1997-2","Other",0,1020,0,0
"0719-173-1997-2","Other Household",1020,1035,0,2
"0719-173-1997-2","Other",1035,1070,0,0
