tucaseid,place_type,start_time,stop_time,activity_risk,place_risk
"1336-035-1997-1","Household",0,540,0,2
"1336-035-1997-2","Household",0,630,0,2
"1610-031-1997-1","Household",0,555,0,2
"1610-031-1997-2","Household",0,535,0,2
"1663-046-2002-1","Household",0,440,0,2
"1663-046-2002-2","Household",0,885,0,2
"1893-034-1997-1","Household",0,430,0,2
"1893-034-1997-2","Household",0,720,0,2
"20030201032010","Household",0,479,0,2
"20030212022355","Household",0,539,0,2
"20030301030864","Household",0,379,0,2
"20030302030972","Household",0,494,0,2
"20030302031759","Household",0,479,0,2
"20030303032338","Household",0,479,0,2
"20030403032059","Household",0,719,0,2
"20030503031738","Household",0,529,0,2
"20030504032396","Household",0,429,0,2
"20030605032515","Household",0,419,0,2
"20030605033522","Household",0,379,0,2
"20030705031879","Workplace",0,419,0,0
"20030706030012","Household",0,479,0,2
"20030706031420","Household",0,729,0,2
"20030707033525","Household",0,469,0,2
"20030806030686","Other",0,74,0,0
"20030807031919","Household",0,494,0,2
"20030807032829","Household",0,329,0,2
"20030907031437","Household",0,779,0,2
"20030907031764","Other",0,9,0,0
"20030908030802","Household",0,719,0,2
"20030908031843","Household",0,504,0,2
"20030908032751","Household",0,599,0,2
"20030908033261","Household",0,629,0,2
"20030908033521","Household",0,1439,0,2
"20030909031337","Household",0,539,0,2
"20030909032442","Household",0,1439,0,2
"20031009030123","Household",0,419,0,2
"20031009032764","Household",0,539,0,2
"20031009033199","Workplace",0,389,0,0
"20031009033210","Household",0,419,0,2
"20031010030871","Household",0,599,0,2
"20031109031281","Household",0,1439,0,2
"20031110031320","Household",0,839,0,2
"20031110031718","Household",0,794,0,2
"20031110031822","Household",0,449,0,2
"20031110033196","Household",0,599,0,2
"20031111031729","Household",0,1439,0,2
"20031210031464","Household",0,1439,0,2
"20031211031664","Household",0,454,0,2
"20031211031818","Household",0,689,0,2
"20031211032296","Household",0,1439,0,2
"20031211032383","Household",0,469,0,2
"20031211032839","Household",0,419,0,2
"20031212030993","Household",0,519,0,2
"20040111030511","Household",0,409,0,2
"20040111030852","Household",0,359,0,2
"20040112030906","Household",0,571,0,2
"20040112032412","Household",0,704,0,2
"20040112032941","Household",0,529,0,2
"20040112033019","Household",0,404,0,2
"20040112033488","Household",0,1439,0,2
"20040201040607","Other Household",0,89,0,2
"20040201041910","Household",0,449,0,2
"20040201042134","Household",0,729,0,2
"20040201042222","Household",0,299,0,2
"20040201042365","Household",0,779,0,2
"20040202040034","Household",0,584,0,2
"20040202041719","Household",0,404,0,2
"20040212030821","Household",0,599,0,2
"20040212030920","Workplace",0,479,0,0
"20040301041532","Household",0,449,0,2
"20040301041686","Household",0,659,0,2
"20040301042133","Household",0,419,0,2
"20040301042413","Household",0,329,0,2
"20040302040938","Household",0,614,0,2
"20040302040952","Household",0,599,0,2
"20040302041186","Household",0,1439,0,2
"20040302041703","Household",0,689,0,2
"20040302042438","Household",0,1439,0,2
"20040303040787","Household",0,599,0,2
"20040403040832","Household",0,359,0,2
"20040403041679","Household",0,539,0,2
"20040404041049","Household",0,599,0,2
"20040505041022","Household",0,539,0,2
"20040605040038","Household",0,524,0,2
"20040605040061","Household",0,1439,0,2
"20040605041042","Household",0,629,0,2
"20040605041706","Household",0,594,0,2
"20040605042468","Household",0,459,0,2
"20040706040672","Household",0,439,0,2
"20040706041926","Household",0,474,0,2
"20040706042427","Household",0,401,0,2
"20040805041374","Household",0,469,0,2
"20040806041095","Household",0,629,0,2
"20040806041503","Household",0,389,0,2
"20040806041957","Household",0,1439,0,2
"20040807040108","Other",0,104,0,0
"20040807041095","Other Household",0,14,0,2
"20040807041164","Household",0,389,0,2
"20040807041563","Household",0,659,0,2
"20040807041671","Household",0,1439,0,2
"20040807041767","Household",0,359,0,2
"20040808040042","Workplace",0,239,0,0
"20040908040062","Household",0,289,0,2
