person_id,hh_id,relate,sex,age,gq_id,school_id,work_id,tucaseid_weekend,tucaseid_weekday,infected
"5450835","2038447",1,1,40,"","","1703165050000200","20030303031071","20031210033418",0
"5450836","2038447",2,2,36,"","","1703132030001042","20050112042267","20050908050641",0
"5450837","2038447",5,2,17,"","170993000925","1703132030001072","20050907051749","20050605052329",0
"5450838","2038447",3,1,16,"","170993000925","","20050806051270","20050503051574",0
"5450839","2038447",3,2,14,"","170993004265","","2701-049-2007-2","2701-049-2007-1",0
"5450840","2038447",3,2,2,"","","","5613-048-1997-2","5613-048-1997-1",0
"5450841","2038448",1,2,27,"","","1703125070000038","20050302052139","20050503051519",0
"5450842","2038448",3,1,5,"","","","5430-053-2007-2","5430-053-2007-1",0
"5450843","2038448",3,2,7,"","170993001163","","6028-181-1997-2","6028-181-1997-1",0
"5450844","2038448",3,2,9,"","170993001163","","5142-035-1997-2","5142-035-1997-1",0
"5450845","2038448",3,1,10,"","170993001162","","6738-034-1997-2","6738-034-1997-1",0
"5450846","2038448",3,2,7,"","170993001163","","6041-036-1997-2","6041-036-1997-1",0
"5450847","2038448",3,1,4,"","170993001052","","6801-039-1997-2","6801-039-1997-1",0
"5450848","2038448",17,1,23,"","","1703132010001995","20030201032471","20030201033527",0
"5450898","2038461",1,2,29,"","","1703132040001160","20050503050954","20040706040599",0
"5450926","2038468",1,1,69,"","","","20041110042426","20030706031963",0
"5450927","2038468",2,2,70,"","","","20060201062498","20051010051880",0
"5450928","2038468",3,2,41,"","","1703132030001066","20060605061757","20040502041305",0
"5450929","2038468",8,1,0,"","","","5120-032-2002-2","5120-032-2002-1",0
"5450982","2038481",1,2,29,"","","1703132030001046","20040908040058","20060706061427",0
"5450983","2038481",3,2,10,"","170993001162","","5308-032-1997-2","5308-032-1997-1",0
"5450984","2038481",3,2,8,"","170993001163","","6750-185-2002-2","6750-185-2002-1",0
"5451046","2038496",1,1,34,"","","1703132030001055","20070606071635","20060908061055",0
"5451047","2038496",2,2,32,"","","1703158060000026","20070807071392","20070707070555",0
"5451048","2038496",3,2,6,"","170993001163","","1905-032-1997-2","1905-032-1997-1",0
"5451049","2038496",3,1,4,"","170319101375","","3302-004-2002-2","3302-004-2002-1",0
"5451050","2038496",3,2,1,"","","","2532-032-1997-2","2532-032-1997-1",0
"5451170","2038528",1,2,42,"","","1703136030000005","20040605040061","20061210062510",0
"5451171","2038528",3,1,18,"","","","20050806051270","20050503051574",0
"5451172","2038528",3,1,13,"","170993001162","","5570-204-2007-2","5570-204-2007-1",0
"5451173","2038528",3,1,11,"","170993000966","","6740-034-1997-2","6740-034-1997-1",0
"5451174","2038528",3,2,9,"","170993000668","","6845-042-2002-2","6845-042-2002-1",0
"5451220","2038542",1,2,93,"","","","20041211041137","20031210030798",0
"5451221","2038542",3,2,60,"","","","20060112051043","20050403051893",0
"5451222","2038542",8,2,42,"","","","20050403051353","20051110051086",0
"5451223","2038542",8,2,18,"","","1703141070000004","20061211061622","20060302060860",0
"5451224","2038542",8,1,5,"","170993001163","","6170-034-1997-2","6170-034-1997-1",0
"5451225","2038542",8,2,5,"","170993001163","","5904-052-2002-2","5904-052-2002-1",0
"5451235","2038545",1,2,73,"","","","20040806042121","20050112041842",0
"5451236","2038545",3,2,47,"","","","20041110041049","20041110041450",0
