person_id,hh_id,relate,sex,age,gq_id,school_id,work_id,tucaseid_weekend,tucaseid_weekday,infected
"5463090","2042871",8,1,9,"","","","5621-032-1997-2","5621-032-1997-1",0
"5474853","2048153",19,2,39,"","","","20070707072403","20071010071257",0
"5471989","2046780",1,2,40,"","","","20061008061994","20050504051022",0
"5507008","2062746",1,1,32,"","","","20070302071909","20070101071249",0
"5479409","2050849",1,1,81,"","","","20070909071356","20060604062188",0
"5507089","2062789",3,2,6,"","170993000984","","1663-046-2002-2","1663-046-2002-1",0
"5476091","2048746",1,1,52,"","","1703132050002530","20070112061019","20060503061132",0
"5516105","2068053",2,2,38,"","","1703132020003351","20030303032338","20061211061744",0
"5496765","2057602",3,1,9,"","170993000826","","6327-171-1997-2","6327-171-1997-1",0
"5454043","2039791",1,1,36,"","","1704384570400110","20070706071252","20061009061028",0
"5485691","2053316",8,2,4,"","170993000629","","6588-042-1997-2","6588-042-1997-1",0
"5485766","2053349",1,2,41,"","","","20040605040061","20061210062510",0
"5485824","2053367",3,1,4,"","170993000903","","6366-031-1997-2","6366-031-1997-1",0
"5479646","2050995",1,2,28,"","","","20031110031822","20051010051738",0
"5497902","2058251",1,1,31,"","","1703141130000035","20051110050680","20050807051868",0
"5506340","2062391",1,1,43,"","","","20040212030821","20070605070730",0
"5485027","2053079",8,2,16,"","170993000761","1703132050002536","20050808052319","20051110051982",0
"5506444","2062439",3,1,14,"","170993000925","","3073-002-2002-2","3073-002-2002-1",0
"5503833","2061089",3,1,3,"","","","1610-031-1997-2","1610-031-1997-1",0
"5463043","2042854",2,2,41,"","","1703105020000141","20050807050666","20051110051086",0
"5513108","2066186",1,1,51,"","","1703141140000065","20050201050134","20031009030123",0
"5501766","2060170",1,1,28,"","","1703108060000198","20060605061496","20051212050793",0
"5470355","2045844",8,1,6,"","170993001052","","6024-035-2002-2","6024-035-2002-1",0
"5508475","2063600",1,1,21,"","","","20040201040607","20070504070789",0
"5453379","2039535",3,1,20,"","","170319101439","20040806041957","20030807032829",0
"5480202","2051313",1,2,29,"","","1703141050000013","20070302071801","20071009071821",0
"5513849","2066604",3,1,12,"","170993004957","","5154-045-2007-2","5154-045-2007-1",0
"5475434","2048376",1,1,35,"","","10054278","20060504062147","20060403060912",0
"5459798","2041550",3,2,18,"","","","20061211061622","20060302060860",0
"5471964","2046768",1,1,26,"","","1703132030000699","20040404041049","20060112050806",0
