person_id,hh_id,relate,sex,age,school_id,work_id,gq_id
5450835,2038447,1,1,40,,1.70317E+15,
5450836,2038447,2,2,36,,1.70313E+15,
5450837,2038447,5,2,17,1.70993E+11,1.70313E+15,
5450838,2038447,3,1,16,1.70993E+11,,
5450839,2038447,3,2,14,1.70993E+11,,
5450840,2038447,3,2,2,,,
5450841,2038448,1,2,27,,1.70313E+15,
5450842,2038448,3,1,5,,,
5450847,2038448,3,1,4,1.70993E+11,,
5450848,2038448,17,1,23,,1.70313E+15,
5450898,2038461,1,2,29,,1.70313E+15,
5450926,2038468,1,1,69,,,
5450927,2038468,2,2,70,,,
5450928,2038468,3,2,41,,1.70313E+15,
5450929,2038468,8,1,0,,,
5450982,2038481,1,2,29,,1.70313E+15,
5451046,2038496,1,1,34,,1.70313E+15,
5451047,2038496,2,2,32,,1.70316E+15,
5451050,2038496,3,2,1,,,
5451170,2038528,1,2,42,,1.70314E+15,
5451171,2038528,3,1,18,,,
5451174,2038528,3,2,9,1.70993E+11,,
5451220,2038542,1,2,93,,,
5451221,2038542,3,2,60,,,
5451222,2038542,8,2,42,,,
5451223,2038542,8,2,18,,1.70314E+15,
5451235,2038545,1,2,73,,,
5451236,2038545,3,2,47,,,
5451242,2038548,1,2,23,,,
5451243,2038548,3,2,7,1.70993E+11,,
5451244,2038548,3,2,3,,,
5451245,2038548,19,1,47,,1.70314E+15,
5451280,2038559,1,1,79,,,
5451282,2038561,1,2,39,,1.70314E+15,
5451283,2038561,3,2,19,,1.70318E+15,
5451284,2038561,3,1,18,,1.70313E+15,
5451285,2038561,3,1,17,1.70993E+11,,
5451286,2038561,3,1,15,1.70993E+11,,
5451287,2038561,3,1,14,1.70993E+11,,
5451288,2038562,1,2,82,,,
5451289,2038562,8,1,30,,,
5451290,2038562,3,2,50,,1.70318E+15,
5451291,2038562,3,2,50,,,
5451294,2038564,1,2,49,,1.70314E+15,
5451295,2038565,1,2,22,,1.70314E+15,
5451297,2038565,19,1,21,,1.70313E+15,
5451345,2038584,1,1,42,,,
5451346,2038584,2,2,41,,,
5451349,2038584,9,2,60,,,
5451406,2038600,1,2,22,,1.70314E+15,
5451438,2038609,1,2,22,,1.70313E+15,
5451440,2038609,19,1,21,,1.70313E+15,
5451572,2038649,1,2,68,,,
5451573,2038649,8,2,17,1.70993E+11,1.70313E+15,
5451574,2038649,8,1,12,1.70993E+11,,
5451582,2038652,1,2,34,,1.70317E+15,
5451584,2038652,3,1,12,1.70993E+11,,
5451585,2038652,3,2,10,1.70993E+11,,
5451599,2038656,1,2,76,,,
5451600,2038657,1,1,57,,,
5451601,2038658,1,2,38,,,
5451602,2038658,3,1,18,,,
5451603,2038658,3,1,16,1.70993E+11,,
5451604,2038659,1,2,45,,,
5451605,2038660,1,2,26,,,
5451606,2038660,3,1,8,1.70993E+11,,
5451607,2038661,1,2,56,,,
5451608,2038662,1,2,29,,,
5451609,2038662,3,2,10,1.70993E+11,,
5451610,2038662,3,2,8,1.70993E+11,,
5451611,2038663,1,1,29,,,
5451612,2038663,6,1,30,,1.70313E+15,
5451613,2038664,1,1,75,,,
5451614,2038665,1,2,27,,1.70313E+15,
5451616,2038665,3,2,7,1.70993E+11,,
5451617,2038665,3,2,3,,,
5451618,2038666,1,1,48,,1.70317E+15,
5451619,2038666,2,2,45,,,
5451620,2038666,3,1,22,,1.70314E+15,
5451621,2038667,1,2,51,,1.70313E+15,
5451622,2038668,1,2,30,,,
5451624,2038669,1,2,79,,,
5451625,2038669,3,2,61,,,
5451626,2038670,1,2,81,,,
5451627,2038671,1,2,27,,,
5451628,2038672,1,2,29,,1.70314E+15,
5451629,2038672,3,1,12,1.70993E+11,,
5451631,2038672,3,2,3,,,
5451632,2038673,1,1,81,,,
5451633,2038673,2,2,51,,1.70315E+15,
5451634,2038674,1,2,59,,1.70314E+15,
5451635,2038674,3,1,29,,1.70315E+15,
5451636,2038675,1,2,79,,,
5451637,2038675,3,2,61,,,
5451638,2038676,1,2,30,,1.70313E+15,
5451639,2038676,3,2,11,1.70993E+11,,
5451640,2038676,3,2,9,1.70993E+11,,
5451641,2038677,1,2,80,,,
5451642,2038678,1,2,77,,,
5451643,2038678,19,1,62,,,
5451644,2038679,1,2,81,,,
5451645,2038680,1,2,80,,,
5451646,2038681,1,1,28,,,
5451647,2038681,2,2,42,,1.70314E+15,
5451648,2038682,1,1,81,,,
5451649,2038682,2,2,51,,,
5451650,2038683,1,2,29,,,
5451651,2038683,3,1,12,1.70993E+11,,
5451652,2038683,3,2,8,1.70993E+11,,
5451653,2038683,3,2,3,,,
5451654,2038684,1,1,75,,,
5451655,2038685,1,2,65,,,
5451656,2038686,1,1,73,,,
5451657,2038686,2,2,71,,,
5451658,2038687,1,1,27,,1.70314E+15,
5451659,2038687,19,2,28,,1.70318E+15,
5451660,2038688,1,2,76,,,
5451661,2038689,1,1,81,,,
5451662,2038689,2,2,70,,1.70314E+15,
5451663,2038690,1,1,43,,1.70311E+15,
5451664,2038690,2,2,41,,,
5451665,2038690,3,1,14,1.70993E+11,,
5451666,2038690,3,2,12,1.70993E+11,,
5451667,2038690,3,2,7,1.70993E+11,,
5451668,2038690,17,2,34,,1.70318E+15,
5451669,2038691,1,2,68,,,
5451670,2038692,1,2,26,,1.70313E+15,
5451671,2038693,1,2,34,,,
5451672,2038694,1,2,27,,1.70318E+15,
5451673,2038695,1,2,65,,1.70313E+15,
5451674,2038696,1,2,51,,1.70313E+15,
5451675,2038697,1,2,42,,1.70313E+15,
5451676,2038698,1,2,45,,,
5451677,2038699,1,1,69,,,
5451678,2038699,2,2,55,,,
5451679,2038700,1,2,55,,,
5451680,2038701,1,1,40,,1.70311E+15,
5451681,2038701,2,2,36,,,
5451682,2038701,5,2,17,1.70993E+11,,
5451683,2038701,3,1,16,1.70993E+11,,
5451684,2038701,3,2,14,1.70993E+11,,
5451685,2038701,3,2,2,,,
5451686,2038702,1,1,51,,,
5451687,2038703,1,2,46,,,
5451688,2038703,3,2,17,1.70993E+11,1.70313E+15,
5451689,2038704,1,1,31,,,
5451690,2038705,1,1,78,,,
5451691,2038705,3,2,21,,1.70314E+15,
5451692,2038706,1,2,51,,1.70317E+15,
5451693,2038707,1,2,68,,1.70313E+15,
5451694,2038708,1,2,32,,,
5451695,2038709,1,1,46,,,
5451697,2038710,1,2,50,,,
5451698,2038710,20,1,12,1.70993E+11,,
5451699,2038710,20,1,12,1.70993E+11,,
5451700,2038710,20,2,7,1.70993E+11,,
5451701,2038711,1,2,32,,1.70313E+15,
5451702,2038712,1,1,26,,,
5451703,2038712,2,2,24,,1.70314E+15,
5451704,2038713,1,1,60,,,
5451705,2038714,1,2,35,,,
5451706,2038714,2,1,37,,1.70317E+15,
5451707,2038715,1,1,65,,,
5451708,2038715,3,2,8,1.70993E+11,,
5451709,2038715,3,2,9,1.70993E+11,,
5451710,2038715,19,2,47,,,
5451711,2038716,1,2,38,,,
5451712,2038716,3,1,15,1.70993E+11,,
5451713,2038717,1,1,29,,,
5451714,2038718,1,2,63,,,
5451715,2038719,1,2,79,,,
5451716,2038719,3,2,61,,,
5451717,2038720,1,2,79,,,
5451718,2038720,8,2,25,,,
5451719,2038720,3,1,44,,1.70313E+15,
5451721,2038721,1,2,35,,1.70318E+15,
5451722,2038721,2,1,37,,,
5451723,2038722,1,2,53,,,
5451724,2038722,3,1,37,,1.70314E+15,
5451725,2038723,1,2,81,,,
5451726,2038724,1,2,56,,,
5451727,2038725,1,2,55,,,
5451728,2038725,3,1,27,,1.70313E+15,
5451729,2038726,1,2,22,,1.70314E+15,
5451730,2038726,3,1,6,1.70993E+11,,
5451731,2038726,19,1,21,,,
5451732,2038727,1,1,26,,1.70318E+15,
5451733,2038727,6,1,21,,,
5451734,2038728,1,2,25,,1.70313E+15,
5451735,2038728,3,2,7,1.70993E+11,,
5451736,2038728,3,2,5,1.70993E+11,,
5451737,2038728,3,1,3,,,
5451738,2038728,16,1,27,,1.70313E+15,
5451739,2038729,1,2,38,,1.70314E+15,
5451740,2038729,3,2,20,,1.70318E+15,
5451741,2038729,3,1,19,,1.70314E+15,
5451742,2038729,3,1,12,1.70993E+11,,
5451743,2038730,1,2,41,,1.70313E+15,
5451744,2038730,3,1,18,,1.70313E+15,
5451745,2038730,6,1,24,,1.70314E+15,
5451746,2038730,19,1,32,,1.70313E+15,
5451747,2038731,1,1,59,,1.70313E+15,
5451748,2038731,3,1,23,,,
5451749,2038732,1,2,27,,,
5451750,2038732,3,1,9,1.70993E+11,,
5451751,2038732,3,2,7,1.70993E+11,,
5451752,2038732,3,2,3,,,
5451753,2038733,1,2,38,,1.70314E+15,
5451754,2038733,3,2,18,,,
5451757,2038733,8,1,3,,,
5451758,2038733,13,1,22,,,
5451759,2038733,21,1,37,,,
5451760,2038734,1,2,83,,,
5451761,2038734,8,1,27,,1.70314E+15,
5451762,2038734,3,1,46,,1.70314E+15,
5451763,2038735,1,2,39,,,
5451764,2038736,1,2,31,,,
5451766,2038736,4,1,2,,,
5451767,2038737,1,2,29,,1.70311E+15,
5451768,2038738,1,2,75,,,
5451769,2038738,8,2,36,,,
5451770,2038738,8,2,7,1.70993E+11,,
