place_id,type,persons,latitude,longitude
G170313818002N01,Nursing Home,130,41.80377998,-87.6227
G170313904001C01,College,10,41.80586963,-87.60299897
G170314103001C01,College,98,41.80153842,-87.5991215
G170314105001C01,College,94,41.79788514,-87.60269197
G170314106002C01,College,348,41.7956346,-87.59926874
G170314109001C01,College,600,41.79782462,-87.58506779
G170314109001N01,Nursing Home,2,41.79745967,-87.58137651
1.70993E+11,School,582,41.80553698,-87.62064399
1.70993E+11,School,632,41.803968,-87.60556702
1.70993E+11,School,423,41.80409998,-87.59424603
1.70993E+11,School,0,41.79601698,-87.62572499
1.70993E+11,School,515,41.80205502,-87.61107901
1.70993E+11,School,331,41.80478702,-87.59049999
1.70319E+11,School,220,41.80063697,-87.58590503
1.70319E+11,School,105,41.80882699,-87.60159802
1.70319E+11,School,198,41.80950301,-87.60113098
1.70319E+11,School,300,41.805263,-87.60646002
1.70319E+11,School,280,41.79579402,-87.59640699
1.70319E+11,School,270,41.80807099,-87.59194899
1.70993E+11,School,341,41.79726499,-87.61602299
1.70993E+11,School,1459,41.79918702,-87.62577299
1.70993E+11,School,667,41.80482401,-87.62435198
1.70993E+11,School,259,41.80268199,-87.62586402
1.70993E+11,School,540,41.79780098,-87.60237401
1.70993E+11,School,1710,41.80371201,-87.59049602
1.70993E+11,School,308,41.798484,-87.59342499
2038447,Household,6,41.80943211,-87.6105006
2038448,Household,8,41.80948417,-87.60743313
2038461,Household,1,41.80942957,-87.60973615
2038468,Household,4,41.8094273,-87.61132461
2038481,Household,3,41.8094284,-87.61113577
2038496,Household,5,41.80952804,-87.60681876
2038528,Household,5,41.80933359,-87.61430026
2038542,Household,6,41.80935663,-87.61287322
2038545,Household,2,41.80942601,-87.61154398
2038548,Household,4,41.80940709,-87.61188881
2038559,Household,1,41.8093914,-87.61217473
2038561,Household,6,41.8094139,-87.61176466
2038562,Household,4,41.80942647,-87.61230178
2038564,Household,1,41.80942616,-87.61236335
2038565,Household,3,41.8094049,-87.6137452
2038584,Household,6,41.80933328,-87.61412606
2038600,Household,2,41.80938341,-87.61537098
2038609,Household,3,41.80942245,-87.61357863
2038649,Household,3,41.80939468,-87.61508625
2038652,Household,5,41.80933513,-87.61517797
2038656,Household,1,41.80766196,-87.61448114
2038657,Household,1,41.80915402,-87.61532382
2038658,Household,3,41.80868912,-87.61572751
2038659,Household,1,41.80857398,-87.61646171
2038660,Household,2,41.80642216,-87.61274902
2038661,Household,1,41.80892493,-87.61580914
2038662,Household,3,41.80784847,-87.61463354
2038663,Household,2,41.80884226,-87.61622906
2038664,Household,1,41.80847788,-87.61492884
2038665,Household,4,41.80849675,-87.61287051
2038666,Household,3,41.80904973,-87.61475556
2038667,Household,1,41.80802869,-87.61565112
2038668,Household,2,41.8089706,-87.61501236
2038669,Household,2,41.80914361,-87.6145509
2038670,Household,1,41.80933379,-87.61441299
2038671,Household,1,41.80873191,-87.61154593
2038672,Household,4,41.80853924,-87.61509762
2038673,Household,2,41.80890616,-87.61331362
2038674,Household,2,41.80836388,-87.61320506
2038675,Household,2,41.80905751,-87.61465708
2038676,Household,3,41.80754881,-87.61536639
2038677,Household,1,41.80757076,-87.61466915
2038678,Household,2,41.80887227,-87.61214378
2038679,Household,1,41.80588576,-87.61256307
2038680,Household,1,41.80595078,-87.61200103
2038681,Household,2,41.80860748,-87.61474329
2038682,Household,2,41.8078571,-87.61388684
2038683,Household,4,41.80859203,-87.61656848
2038684,Household,1,41.80895967,-87.6126035
2038685,Household,1,41.80628488,-87.61221198
2038686,Household,2,41.80878487,-87.61625101
2038687,Household,2,41.80804689,-87.61425611
2038688,Household,1,41.80789436,-87.6133986
2038689,Household,2,41.80874616,-87.61537203
2038690,Household,6,41.80853789,-87.61369968
2038691,Household,1,41.80848075,-87.61556419
2038692,Household,1,41.80832577,-87.61395512
2038693,Household,1,41.8076095,-87.61314456
2038694,Household,1,41.80855457,-87.61401176
2038695,Household,1,41.80824144,-87.61386647
2038696,Household,1,41.80905743,-87.61374327
2038697,Household,1,41.80604701,-87.6122006
2038698,Household,1,41.80916689,-87.61280616
2038699,Household,2,41.8090164,-87.61542052
2038700,Household,1,41.80884221,-87.61615845
2038701,Household,6,41.80940133,-87.61199388
2038702,Household,1,41.80772508,-87.61420556
2038703,Household,2,41.80886474,-87.61247331
2038704,Household,1,41.80862006,-87.61331839
2038705,Household,2,41.8076575,-87.61562968
2038706,Household,1,41.80781564,-87.61436587
2038707,Household,1,41.80926141,-87.61392689
2038708,Household,1,41.8075929,-87.61553328
2038709,Household,2,41.80911522,-87.61428925
2038710,Household,4,41.8077127,-87.61260217
2038711,Household,1,41.80914914,-87.61596814
2038712,Household,2,41.80901066,-87.61360772
2038713,Household,1,41.80762374,-87.6123443
2038714,Household,2,41.80834046,-87.61556121
2038715,Household,4,41.80808279,-87.61526646
2038716,Household,2,41.80895395,-87.61358991
2038717,Household,1,41.80874871,-87.61644229
2038718,Household,1,41.80760947,-87.61368334
2038719,Household,2,41.80865073,-87.61334151
2038720,Household,4,41.80870788,-87.61523395
2038721,Household,2,41.8088531,-87.61419282
2038722,Household,2,41.80755459,-87.61478032
2038723,Household,1,41.80640655,-87.61175845
2038724,Household,1,41.80762915,-87.61286121
2038725,Household,2,41.80684289,-87.61259819
2038726,Household,3,41.80863979,-87.61462135
2038727,Household,2,41.80760051,-87.61455213
2038728,Household,5,41.80933602,-87.61569169
2038729,Household,4,41.80884226,-87.61611098
2038730,Household,4,41.80912968,-87.61429156
2038731,Household,2,41.80837139,-87.61249365
2038732,Household,4,41.80658314,-87.61274902
2038733,Household,7,41.80800922,-87.61490826
2038734,Household,3,41.80774152,-87.61515541
2038735,Household,1,41.80933442,-87.61477173
2038736,Household,3,41.80796699,-87.61194409
2038737,Household,1,41.80787053,-87.61529431
2038738,Household,3,41.80818264,-87.61440848
2038739,Household,1,41.80891737,-87.61530449
2038740,Household,1,41.80894516,-87.61170835
2038741,Household,1,41.80911463,-87.61415193
2038742,Household,2,41.8071509,-87.6120203
2038743,Household,2,41.80844616,-87.61297267
2038744,Household,6,41.80861395,-87.6144553
2038745,Household,1,41.80835651,-87.61590996
2038746,Household,1,41.80899547,-87.61455167
2038747,Household,1,41.80886103,-87.6162504
