tucaseid,place_type,start_time,stop_time,activity_code,activity_risk,place_risk
"20030111021396","Household","00:11:00","01:11:00",10101,0,1
"20030111021396","Household","01:11:00","02:11:00",10101,0,1
"20030111021396","Household","02:11:00","03:11:00",10101,0,1
"20030111021396","Household","03:11:00","04:11:00",10101,0,1
"20030111021396","Household","04:11:00","05:11:00",20201,0,1
"20030111021396","Household","05:11:00","06:11:00",20101,1,1
"20030111021396","Household","06:11:00","07:11:00",180589,0,1
"20030111021396","Household","07:11:00","08:11:00",180589,0,1
"20030111021396","Workplace","08:11:00","09:11:00",50101,0,0
"20030111021396","Workplace","09:11:00","10:11:00",50101,0,0
"20030111021396","Workplace","10:11:00","11:11:00",50101,0,0
"20030111021396","Workplace","11:11:00","12:11:00",50101,0,0
"20030111021396","Social","12:11:00","13:11:00",110101,0,0
"20030111021396","Workplace","13:11:00","14:11:00",50101,0,0
"20030111021396","Workplace","14:11:00","15:11:00",50101,0,0
"20030111021396","Workplace","15:11:00","16:11:00",50101,0,0
"20030111021396","Workplace","16:11:00","17:11:00",50101,0,0
"20030111021396","Household","17:11:00","18:11:00",20102,1,1
"20030111021396","Household","18:11:00","19:11:00",20201,0,1
"20030111021396","Household","19:11:00","20:11:00",30101,2,1
"20030111021396","Household","20:11:00","21:11:00",10101,0,1
"20030111021396","Household","21:11:00","22:11:00",10101,0,1
"20030111021396","Household","22:11:00","23:11:00",10101,0,1
"20030111021396","Household","23:11:00","00:11:00",10101,0,1
"20030111021823","Household","00:11:00","01:11:00",10101,0,1
"20030111021823","Household","01:11:00","02:11:00",10101,0,1
"20030111021823","Household","02:11:00","03:11:00",10101,0,1
"20030111021823","Household","03:11:00","04:11:00",10101,0,1
"20030111021823","Household","04:11:00","05:11:00",10101,0,1
"20030111021823","Household","05:11:00","06:11:00",10101,0,1
"20030111021823","Household","06:11:00","07:11:00",10101,0,1
"20030111021823","Household","07:11:00","08:11:00",10101,0,1
"20030111021823","Household","08:11:00","09:11:00",10101,0,1
"20030111021823","Household","09:11:00","10:11:00",10101,0,1
"20030111021823","Household","10:11:00","11:11:00",10101,0,1
"20030111021823","Household","11:11:00","12:11:00",120101,1,1
"20030111021823","Household","12:11:00","13:11:00",120101,1,1
"20030111021823","Household","13:11:00","14:11:00",120101,1,1
"20030111021823","Household","14:11:00","15:11:00",120101,1,1
"20030111021823","Household","15:11:00","16:11:00",120101,1,1
"20030111021823","Household","16:11:00","17:11:00",120101,1,1
"20030111021823","Household","17:11:00","18:11:00",120101,1,1
"20030111021823","Household","18:11:00","19:11:00",120101,1,1
"20030111021823","Household","19:11:00","20:11:00",120101,1,1
"20030111021823","Household","20:11:00","21:11:00",110101,0,1
"20030111021823","Household","21:11:00","22:11:00",120101,1,1
"20030111021823","Small Group Transportation","22:11:00","23:11:00",180101,0,0
"20030111021823","Household","23:11:00","00:11:00",10101,0,1
"20030111022384","Household","00:11:00","01:11:00",10101,0,1
"20030111022384","Household","01:11:00","02:11:00",10101,0,1
"20030111022384","Household","02:11:00","03:11:00",10101,0,1
"20030111022384","Household","03:11:00","04:11:00",10101,0,1
"20030111022384","Household","04:11:00","05:11:00",10101,0,1
"20030111022384","Household","05:11:00","06:11:00",10101,0,1
"20030111022384","Household","06:11:00","07:11:00",10201,1,1
"20030111022384","Small Group Transportation","07:11:00","08:11:00",180501,0,0
"20030111022384","Workplace","08:11:00","09:11:00",50101,0,0
"20030111022384","Workplace","09:11:00","10:11:00",50101,0,0
"20030111022384","Workplace","10:11:00","11:11:00",50101,0,0
"20030111022384","Workplace","11:11:00","12:11:00",50101,0,0
"20030111022384","Workplace","12:11:00","13:11:00",50101,0,0
"20030111022384","Workplace","13:11:00","14:11:00",50202,0,0
"20030111022384","Workplace","14:11:00","15:11:00",50101,0,0
"20030111022384","Small Group Transportation","15:11:00","16:11:00",181283,0,0
"20030111022384","Household","16:11:00","17:11:00",20203,1,1
"20030111022384","Household","17:11:00","18:11:00",20203,1,1
"20030111022384","Social","18:11:00","19:11:00",130101,1,0
"20030111022384","Small Group Transportation","19:11:00","20:11:00",181201,0,0
"20030111022384","Household","20:11:00","21:11:00",120312,0,1
"20030111022384","Household","21:11:00","22:11:00",120101,1,1
"20030111022384","Household","22:11:00","23:11:00",120101,1,1
"20030111022384","Household","23:11:00","00:11:00",10101,0,1
"20030111022773","Small Group Transportation","00:11:00","01:11:00",500103,0,0
"20030111022773","Small Group Transportation","01:11:00","02:11:00",500103,0,0
"20030111022773","Small Group Transportation","02:11:00","03:11:00",500103,0,0
"20030111022773","Household","03:11:00","04:11:00",10101,0,1
"20030111022773","Small Group Transportation","04:11:00","05:11:00",189999,0,0
"20030111022773","Small Group Transportation","05:11:00","06:11:00",189999,0,0
"20030111022773","Small Group Transportation","06:11:00","07:11:00",189999,0,0
