tucaseid	place_type	start_time	stop_time	activity_code	activity_risk	place_risk
2.00301E+13	Household	0:11:00	1:11:00	10101	0	1
2.00301E+13	Household	1:11:00	2:11:00	10101	0	1
2.00301E+13	Household	2:11:00	3:11:00	10101	0	1
2.00301E+13	Household	3:11:00	4:11:00	10101	0	1
2.00301E+13	Household	4:11:00	5:11:00	20201	0	1
2.00301E+13	Household	5:11:00	6:11:00	20101	1	1
2.00301E+13	Household	6:11:00	7:11:00	180589	0	1
2.00301E+13	Household	7:11:00	8:11:00	180589	0	1
2.00301E+13	Workplace	8:11:00	9:11:00	50101	0	0
2.00301E+13	Workplace	9:11:00	10:11:00	50101	0	0
2.00301E+13	Workplace	10:11:00	11:11:00	50101	0	0
2.00301E+13	Workplace	11:11:00	12:11:00	50101	0	0
2.00301E+13	Social	12:11:00	13:11:00	110101	0	0
2.00301E+13	Workplace	13:11:00	14:11:00	50101	0	0
2.00301E+13	Workplace	14:11:00	15:11:00	50101	0	0
2.00301E+13	Workplace	15:11:00	16:11:00	50101	0	0
2.00301E+13	Workplace	16:11:00	17:11:00	50101	0	0
2.00301E+13	Household	17:11:00	18:11:00	20102	1	1
2.00301E+13	Household	18:11:00	19:11:00	20201	0	1
2.00301E+13	Household	19:11:00	20:11:00	30101	2	1
2.00301E+13	Household	20:11:00	21:11:00	10101	0	1
2.00301E+13	Household	21:11:00	22:11:00	10101	0	1
2.00301E+13	Household	22:11:00	23:11:00	10101	0	1
2.00301E+13	Household	23:11:00	0:11:00	10101	0	1
2.00301E+13	Household	0:11:00	1:11:00	10101	0	1
2.00301E+13	Household	1:11:00	2:11:00	10101	0	1
2.00301E+13	Household	2:11:00	3:11:00	10101	0	1
2.00301E+13	Household	3:11:00	4:11:00	10101	0	1
2.00301E+13	Household	4:11:00	5:11:00	10101	0	1
2.00301E+13	Household	5:11:00	6:11:00	10101	0	1
2.00301E+13	Household	6:11:00	7:11:00	10101	0	1
2.00301E+13	Household	7:11:00	8:11:00	10101	0	1
2.00301E+13	Household	8:11:00	9:11:00	10101	0	1
2.00301E+13	Household	9:11:00	10:11:00	10101	0	1
2.00301E+13	Household	10:11:00	11:11:00	10101	0	1
2.00301E+13	Household	11:11:00	12:11:00	120101	1	1
2.00301E+13	Household	12:11:00	13:11:00	120101	1	1
2.00301E+13	Household	13:11:00	14:11:00	120101	1	1
2.00301E+13	Household	14:11:00	15:11:00	120101	1	1
2.00301E+13	Household	15:11:00	16:11:00	120101	1	1
2.00301E+13	Household	16:11:00	17:11:00	120101	1	1
2.00301E+13	Household	17:11:00	18:11:00	120101	1	1
2.00301E+13	Household	18:11:00	19:11:00	120101	1	1
2.00301E+13	Household	19:11:00	20:11:00	120101	1	1
2.00301E+13	Household	20:11:00	21:11:00	110101	0	1
2.00301E+13	Household	21:11:00	22:11:00	120101	1	1
2.00301E+13	Small Group Transportation	22:11:00	23:11:00	180101	0	0
2.00301E+13	Household	23:11:00	0:11:00	10101	0	1
2.00301E+13	Household	0:11:00	1:11:00	10101	0	1
2.00301E+13	Household	1:11:00	2:11:00	10101	0	1
2.00301E+13	Household	2:11:00	3:11:00	10101	0	1
2.00301E+13	Household	3:11:00	4:11:00	10101	0	1
2.00301E+13	Household	4:11:00	5:11:00	10101	0	1
2.00301E+13	Household	5:11:00	6:11:00	10101	0	1
2.00301E+13	Household	6:11:00	7:11:00	10201	1	1
2.00301E+13	Small Group Transportation	7:11:00	8:11:00	180501	0	0
2.00301E+13	Workplace	8:11:00	9:11:00	50101	0	0
2.00301E+13	Workplace	9:11:00	10:11:00	50101	0	0
2.00301E+13	Workplace	10:11:00	11:11:00	50101	0	0
2.00301E+13	Workplace	11:11:00	12:11:00	50101	0	0
2.00301E+13	Workplace	12:11:00	13:11:00	50101	0	0
2.00301E+13	Workplace	13:11:00	14:11:00	50202	0	0
2.00301E+13	Workplace	14:11:00	15:11:00	50101	0	0
2.00301E+13	Small Group Transportation	15:11:00	16:11:00	181283	0	0
2.00301E+13	Household	16:11:00	17:11:00	20203	1	1
2.00301E+13	Household	17:11:00	18:11:00	20203	1	1
2.00301E+13	Social	18:11:00	19:11:00	130101	1	0
2.00301E+13	Small Group Transportation	19:11:00	20:11:00	181201	0	0
2.00301E+13	Household	20:11:00	21:11:00	120312	0	1
2.00301E+13	Household	21:11:00	22:11:00	120101	1	1
2.00301E+13	Household	22:11:00	23:11:00	120101	1	1
2.00301E+13	Household	23:11:00	0:11:00	10101	0	1
2.00301E+13	Small Group Transportation	0:11:00	1:11:00	500103	0	0
2.00301E+13	Small Group Transportation	1:11:00	2:11:00	500103	0	0
2.00301E+13	Small Group Transportation	2:11:00	3:11:00	500103	0	0
2.00301E+13	Household	3:11:00	4:11:00	10101	0	1
2.00301E+13	Small Group Transportation	4:11:00	5:11:00	189999	0	0
2.00301E+13	Small Group Transportation	5:11:00	6:11:00	189999	0	0
2.00301E+13	Small Group Transportation	6:11:00	7:11:00	189999	0	0
2.00301E+13	Small Group Transportation	7:11:00	8:11:00	189999	0	0
2.00301E+13	Small Group Transportation	8:11:00	9:11:00	189999	0	0
2.00301E+13	Household	9:11:00	10:11:00	10101	0	1
2.00301E+13	Household	10:11:00	11:11:00	10101	0	1
2.00301E+13	Household	11:11:00	12:11:00	10101	0	1
2.00301E+13	Household	12:11:00	13:11:00	10101	0	1
2.00301E+13	Household	13:11:00	14:11:00	10101	0	1
2.00301E+13	Household	14:11:00	15:11:00	10101	0	1
2.00301E+13	Household	15:11:00	16:11:00	10101	0	1
2.00301E+13	Household	16:11:00	17:11:00	10101	0	1
2.00301E+13	Household	17:11:00	18:11:00	20201	0	1
2.00301E+13	Household	18:11:00	19:11:00	120303	0	1
2.00301E+13	Household	19:11:00	20:11:00	120303	0	1
2.00301E+13	Other Household	20:11:00	21:11:00	120101	1	0
2.00301E+13	Other Household	21:11:00	22:11:00	120101	1	0
2.00301E+13	Other Household	22:11:00	23:11:00	120101	1	0
2.00301E+13	Other Household	23:11:00	0:11:00	120101	1	0
2.00301E+13	Household	0:11:00	1:11:00	10101	0	1
2.00301E+13	Household	1:11:00	2:11:00	10101	0	1
2.00301E+13	Household	2:11:00	3:11:00	10101	0	1
2.00301E+13	Household	3:11:00	4:11:00	10101	0	1
2.00301E+13	Household	4:11:00	5:11:00	10101	0	1
2.00301E+13	Household	5:11:00	6:11:00	10101	0	1
2.00301E+13	Household	6:11:00	7:11:00	10101	0	1
2.00301E+13	Household	7:11:00	8:11:00	10101	0	1
2.00301E+13	Household	8:11:00	9:11:00	10101	0	1
2.00301E+13	Household	9:11:00	10:11:00	10201	1	1
2.00301E+13	Small Group Transportation	10:11:00	11:11:00	180782	0	0
2.00301E+13	Store	11:11:00	12:11:00	70104	0	0
2.00301E+13	Social	12:11:00	13:11:00	80501	0	0
2.00301E+13	Household	13:11:00	14:11:00	120101	1	1
2.00301E+13	Household	14:11:00	15:11:00	120101	1	1
2.00301E+13	Household	15:11:00	16:11:00	120101	1	1
2.00301E+13	Household	16:11:00	17:11:00	120303	0	1
2.00301E+13	Household	17:11:00	18:11:00	120303	0	1
2.00301E+13	Household	18:11:00	19:11:00	20201	0	1
2.00301E+13	Household	19:11:00	20:11:00	120303	0	1
2.00301E+13	Store	20:11:00	21:11:00	70104	0	0
2.00301E+13	Household	21:11:00	22:11:00	20102	1	1
2.00301E+13	Household	22:11:00	23:11:00	120303	0	1
2.00301E+13	Household	23:11:00	0:11:00	30109	1	1
2.00301E+13	Household	0:11:00	1:11:00	10101	0	1
2.00301E+13	Household	1:11:00	2:11:00	10101	0	1
2.00301E+13	Household	2:11:00	3:11:00	10101	0	1
2.00301E+13	Household	3:11:00	4:11:00	10101	0	1
2.00301E+13	Household	4:11:00	5:11:00	10101	0	1
2.00301E+13	Household	5:11:00	6:11:00	10101	0	1
2.00301E+13	Household	6:11:00	7:11:00	10101	0	1
2.00301E+13	Household	7:11:00	8:11:00	10101	0	1
2.00301E+13	Workplace	8:11:00	9:11:00	50101	0	0
2.00301E+13	Workplace	9:11:00	10:11:00	50101	0	0
2.00301E+13	Workplace	10:11:00	11:11:00	50101	0	0
2.00301E+13	Workplace	11:11:00	12:11:00	50101	0	0
2.00301E+13	Workplace	12:11:00	13:11:00	50101	0	0
2.00301E+13	Workplace	13:11:00	14:11:00	50101	0	0
2.00301E+13	Workplace	14:11:00	15:11:00	50101	0	0
2.00301E+13	Workplace	15:11:00	16:11:00	50101	0	0
2.00301E+13	Household	16:11:00	17:11:00	110101	0	1
2.00301E+13	School	17:11:00	18:11:00	30110	1	0
2.00301E+13	School	18:11:00	19:11:00	30110	1	0
2.00301E+13	Household	19:11:00	20:11:00	120303	0	1
2.00301E+13	Household	20:11:00	21:11:00	120303	0	1
2.00301E+13	Household	21:11:00	22:11:00	120303	0	1
2.00301E+13	Household	22:11:00	23:11:00	120303	0	1
2.00301E+13	Household	23:11:00	0:11:00	10101	0	1
2.00301E+13	Small Group Transportation	0:11:00	1:11:00	181201	0	0
2.00301E+13	Small Group Transportation	1:11:00	2:11:00	181201	0	0
2.00301E+13	Household	2:11:00	3:11:00	10101	0	1
2.00301E+13	Household	3:11:00	4:11:00	10101	0	1
2.00301E+13	Household	4:11:00	5:11:00	10101	0	1
2.00301E+13	Household	5:11:00	6:11:00	10101	0	1
2.00301E+13	Household	6:11:00	7:11:00	10101	0	1
2.00301E+13	Household	7:11:00	8:11:00	10101	0	1
2.00301E+13	Household	8:11:00	9:11:00	10101	0	1
