person_id,hh_id,relate,sex,age,school_id,work_id,tucaseid,infected
"5451406","2038600",1,2,22,"","1703138180000025","20031210032669",0
"5451679","2038700",1,2,55,"","","20030807032273",0
"5451680","2038701",1,1,40,"","1703108150000711","20040303040523",0
"5451681","2038701",2,2,36,"","","20050504050048",0
"5451682","2038701",5,2,17,"170993000925","","20060403060699",0
"5451683","2038701",3,1,16,"170993000925","","20031110033564",0
"5451684","2038701",3,2,14,"170993004265","","",0
"5451685","2038701",3,2,2,"","","",0
"5451883","2038800",1,1,77,"","","20031009033517",0
"5451884","2038800",3,2,43,"","","20060502061263",0
"5451885","2038800",5,1,42,"","","20030807032737",0
"5451886","2038800",21,2,76,"","","20030908031287",0
"5451887","2038801",1,2,26,"","1703182020100193","20070504070111",0
"5451889","2038801",3,1,2,"","","",0
"5451890","2038801",4,1,0,"","","",0
"5452081","2038900",1,2,83,"","","20041212041089",0
"5452082","2038901",1,1,46,"","","20050604051245",0
"5452083","2038901",2,2,51,"","","20060112052268",0
"5452283","2039000",1,1,43,"","","20060404061320",0
"5452284","2039000",2,2,43,"","","20040706042255",0
"5452285","2039000",3,2,22,"","1703138120000035","20030504033260",0
"5452286","2039000",3,2,13,"170993004265","","",0
"5452287","2039000",3,1,19,"","","20050605051854",0
"5452288","2039001",1,2,68,"","","20040112032618",0
"5452475","2039100",1,1,26,"","1703135140000039","20041008040653",0
"5452476","2039100",6,1,21,"","","20030112022413",0
"5452477","2039101",1,2,85,"","","20030504030813",0
"5452478","2039101",13,1,36,"","","20070504070135",0
"5452662","2039200",1,2,83,"","","20041212041089",0
"5452663","2039201",1,2,77,"","","20041212041089",0
"5452855","2039300",1,2,38,"","","20070908071065",1
"5452856","2039300",3,1,15,"170993000761","","20070504071473",1
"5452857","2039301",1,2,54,"","1703181230000562","20070201070095",1
"5452858","2039301",3,1,34,"","1703132060000174","20070706071824",1
"5452859","2039301",3,2,33,"","","20061211062184",1
"5452860","2039301",8,2,2,"","","",0
"5453079","2039400",1,1,49,"","1703128020000369","20030605030093",0
"5453080","2039400",19,1,57,"","","20030908030016",0
"5453081","2039401",1,2,37,"","","20030201030088",0
"5453082","2039401",3,2,19,"","1703132050002405","20060908062457",0
"5453083","2039401",3,1,9,"170993001014","","",0
"5453084","2039401",3,1,8,"170993001014","","",0
"5453085","2039401",3,2,7,"170993001014","","",0
"5453302","2039500",1,2,64,"","","20070302071820",0
"5453303","2039500",13,2,22,"","","20031009030051",0
"5453304","2039500",13,2,7,"170993000668","","",0
"5453305","2039500",13,2,6,"170993000668","","",0
"5453306","2039500",13,1,1,"","","",0
"5453307","2039501",1,2,78,"","","20060503061085",0
"5453308","2039501",3,2,39,"","","20030908030063",0
"5453309","2039501",6,2,72,"","1703108140000646","20060707061075",0
"5453310","2039501",8,1,19,"","1703133010000284","20031009031343",0
"5453311","2039501",3,2,47,"","","20041009042457",0
"5453646","2039600",1,2,35,"","","20050111040898",0
"5453647","2039600",3,2,18,"","1703125180000084","20070201070886",0
"5453651","2039601",1,2,58,"","","20030806031628",0
"5453654","2039601",3,1,30,"","1703128180000219","20050807051857",0
"5453863","2039700",1,2,41,"","","20040112031441",0
"5453864","2039700",3,2,14,"170993000761","","",0
"5453865","2039701",1,2,46,"","","20050201050038",0
"5453866","2039701",3,1,16,"170993000761","1703128290000221","20030403032035",0
"5453867","2039701",3,2,14,"170993000761","","",0
"5454066","2039800",1,1,39,"","","20030807033491",0
"5454067","2039800",2,2,38,"","","20061110062240",0
"5454068","2039800",3,1,18,"","","20031110033115",0
"5454069","2039800",3,1,14,"170993000761","","",0
"5454070","2039801",1,1,57,"","","20040504040513",0
"5454071","2039801",2,2,63,"","","20031008033327",0
"5454344","2039900",1,2,58,"","","20030504031194",0
"5454345","2039900",3,1,39,"","1703107090000121","20050806051399",0
"5454346","2039900",6,2,60,"","","20030908033622",0
"5454347","2039901",1,1,48,"","","20031008031831",0
"5454348","2039901",2,2,45,"","","20060404060127",0
"5454349","2039901",3,1,22,"","1703128180000169","20050112041292",0
"5454713","2040000",1,2,64,"","","20070403071014",0
"5454714","2040000",8,2,19,"","1703107090000120","20061211061622",0
"5454715","2040000",8,2,14,"170993000761","","",0
"5454716","2040000",8,2,3,"","","",0
"5454717","2040000",8,2,4,"","","",0
"5454718","2040000",8,1,1,"","","",0
"5454719","2040000",8,1,5,"170993001014","","",0
"5454720","2040000",8,1,24,"","","20030302030763",0
"5454721","2040000",11,1,3,"","","",0
"5454722","2040000",8,2,23,"","","20030706031102",0
"5454723","2040000",11,1,5,"170993001014","","",0
"5454724","2040000",8,1,21,"","1703182080000075","20070504072374",0
"5454725","2040001",1,2,34,"","","20070504071864",0
"5454726","2040001",3,2,10,"170993001014","","",0
"5458896","2041200",1,2,54,"","","20050101050006",0
"5458897","2041200",3,1,31,"","","20051211050007",0
"5458898","2041200",3,2,29,"","1703132010002222","20050112040513",0
"5458899","2041201",1,2,39,"","1703180430700214","20050705052236",0
"5458900","2041201",3,2,9,"170993001014","","",0
"5458901","2041201",3,1,12,"170993000668","","",0
"5459192","2041300",1,1,41,"","1703128160000056","20030503031903",0
"5459193","2041301",1,2,32,"","","20070908071065",0
"5459194","2041301",3,2,11,"170993001014","","",0
"5459195","2041301",3,2,7,"170993001014","","",0
"5459196","2041301",3,2,1,"","","",0
"5459469","2041400",1,2,35,"","","20030706030792",0
"5459470","2041400",3,2,11,"170993001014","","",0
"5459471","2041400",19,1,44,"","","20030302031530",0
"5459472","2041401",1,2,53,"","","20070201070524",0
"5459687","2041500",1,2,38,"","","20030706030557",0
"5459688","2041500",3,2,20,"","1703132010002204","20030705033282",0
"5459689","2041500",3,1,19,"","","20050605051605",0
"5459690","2041500",3,1,12,"170993000668","","",0
"5459691","2041501",1,2,44,"","","20041108040958",0
"5459692","2041501",3,2,18,"","1703141140000065","20060302060860",0
"5459899","2041600",1,2,29,"","1703128010000435","20050706051749",0
"5459900","2041600",3,1,12,"170993000767","","",0
"5459901","2041600",3,2,8,"170993000767","","",0
"5459902","2041600",3,2,3,"","","",0
"5459903","2041601",1,2,53,"","1703161020000074","20040201041556",0
"5459904","2041601",3,1,37,"","","20070706071824",0
"5460091","2041700",1,2,53,"","","20070908071124",0
"5460092","2041701",1,1,65,"","","20030605031709",0
"5460290","2041800",1,2,37,"","","20031110033183",0
"5460291","2041800",15,1,42,"","1703148040000082","20070706071618",0
"5460292","2041800",3,2,12,"170993004265","","",0
"5460293","2041800",3,1,15,"170993004265","","20060402061182",0
"5460294","2041800",3,1,14,"170993004265","","",0
"5460295","2041800",3,1,7,"170993000668","","",0
"5460296","2041800",3,2,9,"170993000668","","",0
"5460297","2041800",3,2,5,"170993001014","","",0
"5460298","2041800",3,2,4,"170993001052","","",0
"5460299","2041800",3,2,2,"","","",0
"5460300","2041800",6,1,41,"","","20070807070672",0
"5460301","2041800",21,2,32,"","1703108170000595","20050402051679",0
"5460302","2041801",1,1,47,"","","20060504062182",0
"5460491","2041900",1,1,41,"","1703181130200210","20060302061254",0
"5460492","2041900",2,2,36,"","","20061009061133",0
"5460493","2041900",3,1,20,"","","20030605033324",0
"5460494","2041901",1,1,26,"","1703141080000197","20070302072084",0
"5460753","2042000",1,2,68,"","","20061009061025",0
"5460754","2042000",8,2,17,"170993004265","","20050504051945",0
"5460755","2042000",8,1,12,"170993004265","","",0
"5460756","2042001",1,2,22,"","","20050908051152",0
"5460757","2042001",3,1,6,"170993001014","","",0
"5460758","2042001",19,1,21,"","","20040112033262",0
"5461001","2042100",1,2,53,"","","20030403031052",0
"5461002","2042100",6,2,40,"","","20030404033058",0
"5461003","2042101",1,1,28,"","","20061211061956",0
"5461004","2042101",2,2,21,"","","20030605032156",0
"5461247","2042200",1,2,82,"","","20031210031464",0
"5461248","2042200",8,1,30,"","","20041009041988",0
"5461249","2042200",3,2,50,"","1703141080000028","20030201033240",0
"5461250","2042200",3,2,50,"","","20070201070524",0
"5461251","2042201",1,1,48,"","1703169120000051","20041211040027",0
"5461252","2042201",5,2,19,"","","20031110031213",0
"5461253","2042201",5,2,17,"170993000925","","20050605052329",0
"5461254","2042201",21,2,49,"","1703108140001251","20030111021396",0
"5461508","2042300",1,2,51,"","","20040908040062",0
"5461509","2042300",3,1,29,"","","20041211041787",0
"5461510","2042300",3,1,18,"","","20060807061417",0
"5461511","2042300",21,1,53,"","1703128200000165","20060604062233",0
"5461512","2042301",1,2,68,"","","20071009071799",0
"5461766","2042400",1,2,36,"","","20041109041991",0
"5461767","2042400",3,2,17,"170993000925","1703128020000370","20031010032705",0
"5461768","2042400",3,1,13,"170993001052","","",0
"5461769","2042401",1,1,39,"","","20040605041284",0
"5461770","2042401",6,1,35,"","1703132010002154","20030605033337",0
"5462062","2042500",1,2,38,"","1703138200000008","20030401031845",0
"5462063","2042500",2,1,41,"","","20050908050669",0
"5462064","2042500",3,2,19,"","1703157020000076","20050604051094",0
"5462065","2042500",8,1,6,"170993001052","","",0
"5462066","2042500",8,2,2,"","","",0
"5462067","2042500",8,2,2,"","","",0
"5462068","2042501",1,2,31,"","1703161110000007","20040302041053",0
"5462070","2042501",4,1,2,"","","",0
"5462356","2042600",1,2,35,"","","20071211071764",0
"5462357","2042600",3,1,15,"170993004265","","20040908040087",0
"5462358","2042600",3,1,12,"170993001052","","",0
"5462359","2042601",1,2,35,"","1703133020000021","20050111040898",0
"5462360","2042601",3,2,18,"","1703128020000370","20070605070031",0
"5462361","2042601",3,2,11,"170993001052","","",0
"5462362","2042601",3,2,6,"170993001052","","",0
"5462363","2042601",3,2,5,"170993001052","","",0
"5462652","2042700",1,2,35,"","","20050111040898",0
"5462653","2042700",3,2,18,"","","20071211072475",0
